point_id,row,col,lat,lon
0,0,0,12.83,77.45
1,0,1,12.83,77.4552380952381
2,0,2,12.83,77.4604761904762
3,0,3,12.83,77.46571428571428
4,0,4,12.83,77.47095238095238
5,0,5,12.83,77.47619047619048
6,0,6,12.83,77.48142857142858
7,0,7,12.83,77.48666666666666
8,0,8,12.83,77.49190476190476
9,0,9,12.83,77.49714285714286
10,0,10,12.83,77.50238095238096
11,0,11,12.83,77.50761904761904
12,0,12,12.83,77.51285714285714
13,0,13,12.83,77.51809523809524
14,0,14,12.83,77.52333333333334
15,0,15,12.83,77.52857142857142
16,0,16,12.83,77.53380952380952
17,0,17,12.83,77.53904761904762
18,0,18,12.83,77.54428571428572
19,0,19,12.83,77.5495238095238
20,0,20,12.83,77.5547619047619
21,0,21,12.83,77.56
22,0,22,12.83,77.5652380952381
23,0,23,12.83,77.5704761904762
24,0,24,12.83,77.57571428571428
25,0,25,12.83,77.58095238095238
26,0,26,12.83,77.58619047619048
27,0,27,12.83,77.59142857142858
28,0,28,12.83,77.59666666666666
29,0,29,12.83,77.60190476190476
30,0,30,12.83,77.60714285714286
31,0,31,12.83,77.61238095238096
32,0,32,12.83,77.61761904761904
33,0,33,12.83,77.62285714285714
34,0,34,12.83,77.62809523809524
35,0,35,12.83,77.63333333333334
36,0,36,12.83,77.63857142857142
37,0,37,12.83,77.64380952380952
38,0,38,12.83,77.64904761904762
39,0,39,12.83,77.65428571428572
40,0,40,12.83,77.6595238095238
41,0,41,12.83,77.6647619047619
42,0,42,12.83,77.67
43,0,43,12.83,77.6752380952381
44,0,44,12.83,77.6804761904762
45,0,45,12.83,77.68571428571428
46,0,46,12.83,77.69095238095238
47,0,47,12.83,77.69619047619048
48,0,48,12.83,77.70142857142858
49,0,49,12.83,77.70666666666666
50,0,50,12.83,77.71190476190476
51,0,51,12.83,77.71714285714286
52,0,52,12.83,77.72238095238096
53,0,53,12.83,77.72761904761904
54,0,54,12.83,77.73285714285714
55,0,55,12.83,77.73809523809524
56,0,56,12.83,77.74333333333334
57,0,57,12.83,77.74857142857142
58,0,58,12.83,77.75380952380952
59,0,59,12.83,77.75904761904762
60,0,60,12.83,77.76428571428572
61,0,61,12.83,77.7695238095238
62,0,62,12.83,77.7747619047619
63,0,63,12.83,77.78
64,1,0,12.834920634920636,77.45
65,1,1,12.834920634920636,77.4552380952381
66,1,2,12.834920634920636,77.4604761904762
67,1,3,12.834920634920636,77.46571428571428
68,1,4,12.834920634920636,77.47095238095238
69,1,5,12.834920634920636,77.47619047619048
70,1,6,12.834920634920636,77.48142857142858
71,1,7,12.834920634920636,77.48666666666666
72,1,8,12.834920634920636,77.49190476190476
73,1,9,12.834920634920636,77.49714285714286
74,1,10,12.834920634920636,77.50238095238096
75,1,11,12.834920634920636,77.50761904761904
76,1,12,12.834920634920636,77.51285714285714
77,1,13,12.834920634920636,77.51809523809524
78,1,14,12.834920634920636,77.52333333333334
79,1,15,12.834920634920636,77.52857142857142
80,1,16,12.834920634920636,77.53380952380952
81,1,17,12.834920634920636,77.53904761904762
82,1,18,12.834920634920636,77.54428571428572
83,1,19,12.834920634920636,77.5495238095238
84,1,20,12.834920634920636,77.5547619047619
